Downloading https://www.cs.toronto.edu/~kriz/cifar-100-python.tar.gz to ./data/cifar-100-python.tar.gz
Extracting ./data/cifar-100-python.tar.gz to ./data
Files already downloaded and verified
Dataset: Cifar 100 | Images/Client: 5000

--- Starting DGL | Clients: 10 | Splits: 2 ---
[DGL_1_1] Epoch 29 | Train: 55.3% | Test: 48.8% | Time: 27.0s | GPU: 761MB
[DGL_1_1] Epoch 30 | Train: 55.8% | Test: 49.0% | Time: 27.4s | GPU: 761MB
[DGL_1_1] Epoch 31 | Train: 56.6% | Test: 50.4% | Time: 26.9s | GPU: 761MB
[DGL_1_1] Epoch 32 | Train: 57.2% | Test: 49.8% | Time: 26.7s | GPU: 761MB
[DGL_1_1] Epoch 33 | Train: 57.8% | Test: 50.0% | Time: 26.9s | GPU: 761MB
[DGL_1_1] Epoch 34 | Train: 58.3% | Test: 51.8% | Time: 29.4s | GPU: 761MB
[DGL_1_1] Epoch 35 | Train: 58.9% | Test: 48.6% | Time: 26.7s | GPU: 761MB
[DGL_1_1] Epoch 36 | Train: 59.6% | Test: 46.4% | Time: 29.4s | GPU: 761MB
[DGL_1_1] Epoch 37 | Train: 60.1% | Test: 49.3% | Time: 26.9s | GPU: 761MB
[DGL_1_1] Epoch 38 | Train: 60.6% | Test: 51.5% | Time: 28.9s | GPU: 761MB
[DGL_1_1] Epoch 39 | Train: 61.0% | Test: 53.3% | Time: 29.2s | GPU: 761MB
[DGL_1_1] Epoch 40 | Train: 61.4% | Test: 50.8% | Time: 26.7s | GPU: 761MB
[DGL_1_1] Epoch 41 | Train: 61.9% | Test: 53.6% | Time: 27.6s | GPU: 761MB
[DGL_1_1] Epoch 42 | Train: 62.6% | Test: 44.3% | Time: 26.7s | GPU: 761MB
[DGL_1_1] Epoch 43 | Train: 62.9% | Test: 53.4% | Time: 28.0s | GPU: 761MB
[DGL_1_1] Epoch 44 | Train: 63.2% | Test: 54.4% | Time: 27.0s | GPU: 761MB
[DGL_1_1] Epoch 45 | Train: 64.1% | Test: 53.3% | Time: 29.3s | GPU: 761MB
[DGL_1_1] Epoch 46 | Train: 64.5% | Test: 49.1% | Time: 27.8s | GPU: 761MB
[DGL_1_1] Epoch 47 | Train: 64.9% | Test: 50.5% | Time: 28.6s | GPU: 761MB
[DGL_1_1] Epoch 48 | Train: 65.3% | Test: 55.3% | Time: 27.8s | GPU: 761MB
[DGL_1_1] Epoch 49 | Train: 65.6% | Test: 52.8% | Time: 27.8s | GPU: 761MB
