Scenario,Epoch,TrainAcc,TestAcc,Loss,CommFwdBytes,CommBwdBytes,ClientTimeFwd,ClientTimeBwd,ServerTimeFwd,ServerTimeBwd,CommTimeWall,TotalTime,PeakGPUMemMB
DGL_1_5,7,24.1220,22.7200,6.1149,1638400000,0,7.0638,7.0638,6.5053,6.5053,3.0069,30.1451,761.45
DGL_1_5,8,26.7340,25.5300,5.8426,1638400000,0,6.5637,6.5637,6.4858,6.4858,2.9359,29.0349,761.45
DGL_1_5,9,28.9540,28.2700,5.6071,1638400000,0,6.5259,6.5259,6.4534,6.4534,2.9728,28.9314,761.45
DGL_1_5,10,31.3620,30.5100,5.3789,1638400000,0,6.5126,6.5126,6.4227,6.4227,2.9599,28.8305,761.45
DGL_1_5,11,33.3900,33.6500,5.1693,1638400000,0,6.5764,6.5764,6.4647,6.4647,2.9792,29.0614,761.45
DGL_1_5,12,35.2760,34.8800,5.0118,1638400000,0,6.2772,6.2772,6.4234,6.4234,2.9094,28.3104,761.45
DGL_1_5,13,37.0540,37.0900,4.8419,1638400000,0,6.4265,6.4265,6.4497,6.4497,2.8776,28.6300,761.45
DGL_1_5,14,38.9440,36.7000,4.6977,1638400000,0,6.5352,6.5352,6.4416,6.4416,2.9183,28.8718,761.45
DGL_1_5,15,40.4960,38.3200,4.5681,1638400000,0,6.5146,6.5146,6.4569,6.4569,2.9413,28.8841,761.45
DGL_1_5,16,42.2000,38.4800,4.4349,1638400000,0,6.8013,6.8013,6.4737,6.4737,3.0165,29.5666,761.45
DGL_1_5,17,43.4720,40.1500,4.3130,1638400000,0,6.5911,6.5911,6.4398,6.4398,2.9470,29.0087,761.45
DGL_1_5,18,44.7020,38.0400,4.2209,1638400000,0,6.3890,6.3890,6.4606,6.4606,2.8684,28.5674,761.45
DGL_1_5,19,45.8400,42.1000,4.1209,1638400000,0,6.7823,6.7823,6.4796,6.4796,2.9413,29.4652,761.45
DGL_1_5,20,47.0380,42.3100,4.0289,1638400000,0,6.6171,6.6171,6.4696,6.4696,2.9255,29.0989,761.45
DGL_1_5,21,48.0300,45.3400,3.9463,1638400000,0,6.7820,6.7820,6.4897,6.4897,2.8783,29.4219,761.45
DGL_1_5,22,49.1280,43.8000,3.8531,1638400000,0,6.4627,6.4627,6.4685,6.4685,2.8728,28.7352,761.45
DGL_1_5,23,49.9400,46.8700,3.7794,1638400000,0,7.0181,7.0181,6.4677,6.4677,2.9535,29.9250,761.45
DGL_1_5,24,50.8360,45.5800,3.7043,1638400000,0,6.5072,6.5072,6.4484,6.4484,2.9165,28.8277,761.45
DGL_1_5,25,51.8080,46.8400,3.6216,1638400000,0,6.5139,6.5139,6.4608,6.4608,2.9270,28.8766,761.45
DGL_1_5,26,52.2580,47.3600,3.5649,1638400000,0,6.8623,6.8623,6.4770,6.4770,2.9618,29.6404,761.45
DGL_1_5,27,53.4880,46.9300,3.5004,1638400000,0,6.4059,6.4059,6.4059,6.4059,2.9103,28.5338,761.45
DGL_1_5,28,53.6980,47.5000,3.4498,1638400000,0,6.6206,6.6206,6.4530,6.4530,2.9396,29.0868,761.45
DGL_1_5,29,54.7820,50.8300,3.3810,1638400000,0,6.2953,6.2953,6.4255,6.4255,2.8862,28.3279,761.45
DGL_1_5,30,55.3480,46.5400,3.3384,1638400000,0,6.6256,6.6256,6.4789,6.4789,2.9747,29.1835,761.45
DGL_1_5,31,56.0780,49.7000,3.2800,1638400000,0,6.3964,6.3964,6.4470,6.4470,2.8823,28.5692,761.45
DGL_1_5,32,56.7920,47.7100,3.2164,1638400000,0,6.3364,6.3364,6.4691,6.4691,2.9471,28.5581,761.45
DGL_1_5,33,57.4020,49.6800,3.1678,1638400000,0,6.3178,6.3178,6.4604,6.4604,2.9065,28.4630,761.45
DGL_1_5,34,57.9540,48.0400,3.1209,1638400000,0,6.6245,6.6245,6.4619,6.4619,2.9199,29.0927,761.45
DGL_1_5,35,58.6960,48.5500,3.0877,1638400000,0,6.9105,6.9105,6.4739,6.4739,2.9828,29.7516,761.45
DGL_1_5,36,59.1860,52.7800,3.0251,1638400000,0,6.4561,6.4561,6.4402,6.4402,2.9361,28.7289,761.45
DGL_1_5,37,59.7020,51.1000,2.9968,1638400000,0,6.8870,6.8870,6.4634,6.4634,2.9247,29.6256,761.45
DGL_1_5,38,60.1820,51.7100,2.9556,1638400000,0,6.3152,6.3152,6.4483,6.4483,2.9319,28.4590,761.45
DGL_1_5,39,60.7760,50.5500,2.9164,1638400000,0,6.8503,6.8503,6.4950,6.4950,2.9549,29.6455,761.45
DGL_1_5,40,61.1140,51.2300,2.8691,1638400000,0,6.9159,6.9159,6.5097,6.5097,2.9863,29.8374,761.45
DGL_1_5,41,61.6920,52.3300,2.8425,1638400000,0,6.2880,6.2880,6.4302,6.4302,2.8783,28.3147,761.45
DGL_1_5,42,62.1240,53.4000,2.8133,1638400000,0,6.8478,6.8478,6.4539,6.4539,3.0109,29.6143,761.45
DGL_1_5,43,62.6240,54.1300,2.7586,1638400000,0,6.2881,6.2881,6.4277,6.4277,2.8766,28.3083,761.45
DGL_1_5,44,62.9920,52.9000,2.7295,1638400000,0,6.6645,6.6645,6.4817,6.4817,2.9266,29.2190,761.45
DGL_1_5,45,63.3220,53.9000,2.7128,1638400000,0,6.4198,6.4198,6.4077,6.4077,2.9036,28.5585,761.45
DGL_1_5,46,63.7160,52.6000,2.6645,1638400000,0,6.4510,6.4510,6.4763,6.4763,2.8632,28.7180,761.45
DGL_1_5,47,64.5400,53.9100,2.6244,1638400000,0,7.0534,7.0534,6.5188,6.5188,3.0548,30.1991,761.45
DGL_1_5,48,64.9140,51.5200,2.5971,1638400000,0,6.8431,6.8431,6.4599,6.4599,2.9791,29.5850,761.45
DGL_1_5,49,65.3640,55.8800,2.5791,1638400000,0,6.8242,6.8242,6.4683,6.4683,2.9129,29.4979,761.45
DGL_1_5,50,65.5580,55.9200,2.5499,1638400000,0,6.5752,6.5752,6.4794,6.4794,2.9240,29.0331,761.45
Std_1_5,1,4.0880,7.8800,4.4897,1638400000,1638400000,4.1321,8.2590,4.4556,6.0142,3.0579,25.9186,1059.35
Std_1_5,2,9.5960,12.0200,3.9400,1638400000,1638400000,4.2080,8.3105,4.5432,5.7919,2.9916,25.8452,1059.35
Std_1_5,3,13.9680,16.1300,3.6471,1638400000,1638400000,3.9103,8.2362,4.2318,5.5667,2.9461,24.8911,1059.35
Std_1_5,4,17.8640,19.9600,3.4162,1638400000,1638400000,3.9557,8.2702,4.2745,5.5172,2.9851,25.0027,1059.35
Std_1_5,5,21.1560,23.2400,3.2335,1638400000,1638400000,3.7337,8.2924,4.0324,5.7994,2.9320,24.7899,1059.35
Std_1_5,6,24.1640,24.1000,3.0657,1638400000,1638400000,3.9557,8.2585,4.2629,5.6187,2.9757,25.0715,1059.35
Std_1_5,7,26.8980,28.0600,2.9153,1638400000,1638400000,3.9864,8.2665,4.3148,5.5145,3.0288,25.1110,1059.35
Std_1_5,8,29.1320,31.3000,2.7845,1638400000,1638400000,3.9401,8.3196,4.2634,5.7735,2.9735,25.2700,1059.35
Std_1_5,9,31.7740,31.1000,2.6652,1638400000,1638400000,4.1474,8.2834,4.4962,5.4789,3.0695,25.4754,1059.35
Std_1_5,10,33.9700,32.7100,2.5500,1638400000,1638400000,4.0748,8.2591,4.4023,5.4890,3.0170,25.2421,1059.35
